[PokaPoka @ 49943ms/36s/14m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 265560ms/37s/14m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 635540ms/38s/14m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 579689ms/41s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-718)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 376804ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(494.0-716)] with expected peak @ (x:494.0, y:100)
[PokaPoka @ 389736ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(497.0-712)] with expected peak @ (x:497.0, y:100)
[PokaPoka @ 403701ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-706)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 418656ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-698)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 432741ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-688)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 446972ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-676)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 459944ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-662)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 472911ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-646)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 485907ms/43s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-628)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 506591ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-669)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 519550ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-669)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 534511ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-667)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 549500ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-663)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 562471ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-657)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 575433ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-649)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 588395ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-639)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 602296ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-627)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 617260ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-613)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 630745ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-597)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 643715ms/44s/14m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-579)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 590510ms/47s/14m/11h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 590510ms/47s/14m/11h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 590510ms/47s/14m/11h, 27d/6mo/2021y] --> Exported game log
