[PokaPoka @ 500731ms/30s/44m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 799931ms/30s/44m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 823256ms/31s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-718)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 528241ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716.0-646)] with expected peak @ (x:716.0, y:100)
[PokaPoka @ 543581ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719.0-628)] with expected peak @ (x:719.0, y:100)
[PokaPoka @ 942787ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(773.0-718)] with expected peak @ (x:773.0, y:100)
[PokaPoka @ 959785ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(773.0-718)] with expected peak @ (x:773.0, y:100)
[PokaPoka @ 976347ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(770.0-716)] with expected peak @ (x:770.0, y:100)
[PokaPoka @ 993530ms/32s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(767.0-712)] with expected peak @ (x:767.0, y:100)
[PokaPoka @ 9657ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(764.0-706)] with expected peak @ (x:764.0, y:100)
[PokaPoka @ 25637ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-698)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 40975ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(758.0-688)] with expected peak @ (x:758.0, y:100)
[PokaPoka @ 56991ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(755.0-676)] with expected peak @ (x:755.0, y:100)
[PokaPoka @ 74464ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(752.0-662)] with expected peak @ (x:752.0, y:100)
[PokaPoka @ 90040ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(749.0-646)] with expected peak @ (x:749.0, y:100)
[PokaPoka @ 106518ms/33s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-628)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 209296ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-718)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 226247ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-718)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 243233ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-716)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 259162ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-712)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 277651ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-706)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 292605ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-698)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 308339ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-688)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 328291ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-676)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 344457ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-662)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 361408ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-646)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 378431ms/35s/44m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-628)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 16025ms/36s/44m/14h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 16025ms/36s/44m/14h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 16025ms/36s/44m/14h, 27d/6mo/2021y] --> Exported game log
