[PokaPoka @ 741674ms/52s/30m/16h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 759211ms/54s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-668)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 882419ms/59s/30m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(923.0-578)] with expected peak @ (x:923.0, y:100)
[PokaPoka @ 74293ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(722.0-668)] with expected peak @ (x:722.0, y:100)
[PokaPoka @ 90251ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719.0-668)] with expected peak @ (x:719.0, y:100)
[PokaPoka @ 107207ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716.0-666)] with expected peak @ (x:716.0, y:100)
[PokaPoka @ 123200ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(713.0-662)] with expected peak @ (x:713.0, y:100)
[PokaPoka @ 139123ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710.0-656)] with expected peak @ (x:710.0, y:100)
[PokaPoka @ 155084ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-648)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 173060ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704.0-638)] with expected peak @ (x:704.0, y:100)
[PokaPoka @ 190983ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701.0-626)] with expected peak @ (x:701.0, y:100)
[PokaPoka @ 507183ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-612)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 524134ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-596)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 542096ms/1s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-578)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 372627ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-668)] with expected peak @ (x:812.0, y:100)
[PokaPoka @ 388036ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(815.0-668)] with expected peak @ (x:815.0, y:100)
[PokaPoka @ 404988ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(818.0-666)] with expected peak @ (x:818.0, y:100)
[PokaPoka @ 421942ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(821.0-662)] with expected peak @ (x:821.0, y:100)
[PokaPoka @ 440892ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(824.0-656)] with expected peak @ (x:824.0, y:100)
[PokaPoka @ 460843ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(827.0-648)] with expected peak @ (x:827.0, y:100)
[PokaPoka @ 477796ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(830.0-638)] with expected peak @ (x:830.0, y:100)
[PokaPoka @ 495744ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(833.0-626)] with expected peak @ (x:833.0, y:100)
[PokaPoka @ 513712ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(836.0-612)] with expected peak @ (x:836.0, y:100)
[PokaPoka @ 528657ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(839.0-596)] with expected peak @ (x:839.0, y:100)
[PokaPoka @ 545610ms/6s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(842.0-578)] with expected peak @ (x:842.0, y:100)
[PokaPoka @ 187006ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(950.0-668)] with expected peak @ (x:950.0, y:100)
[PokaPoka @ 205955ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(953.0-668)] with expected peak @ (x:953.0, y:100)
[PokaPoka @ 223911ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(956.0-666)] with expected peak @ (x:956.0, y:100)
[PokaPoka @ 241861ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(959.0-662)] with expected peak @ (x:959.0, y:100)
[PokaPoka @ 258819ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(962.0-656)] with expected peak @ (x:962.0, y:100)
[PokaPoka @ 275772ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(965.0-648)] with expected peak @ (x:965.0, y:100)
[PokaPoka @ 292760ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(968.0-638)] with expected peak @ (x:968.0, y:100)
[PokaPoka @ 308711ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(971.0-626)] with expected peak @ (x:971.0, y:100)
[PokaPoka @ 325659ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(974.0-612)] with expected peak @ (x:974.0, y:100)
[PokaPoka @ 341623ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(977.0-596)] with expected peak @ (x:977.0, y:100)
[PokaPoka @ 357551ms/7s/31m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(980.0-578)] with expected peak @ (x:980.0, y:100)
[PokaPoka @ 270274ms/8s/31m/16h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 270274ms/8s/31m/16h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 270274ms/8s/31m/16h, 27d/6mo/2021y] --> Exported game log as PokaPoka_377647_52_30_16_27_6_2021.log
