[PokaPoka @ 293746ms/58s/6m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 56732ms/0s/7m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 277607ms/1s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-720)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 874873ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-631)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 888621ms/2s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-611)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 843650ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-689)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 858578ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-689)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 872982ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-687)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 888180ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-683)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 901168ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-677)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 914089ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-669)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 928051ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-659)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 947851ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(638.0-647)] with expected peak @ (x:638.0, y:100)
[PokaPoka @ 961809ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-633)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 976771ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-617)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 990973ms/5s/7m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-599)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 389766ms/7s/7m/11h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 389766ms/7s/7m/11h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 389766ms/7s/7m/11h, 27d/6mo/2021y] --> Exported game log
