[PokaPoka @ 219343ms/45s/49m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 37848ms/46s/49m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 625023ms/47s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-668)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 213743ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-666)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 233690ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-662)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 255629ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-656)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 275587ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-648)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 293561ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-638)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 313478ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-626)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 333437ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-612)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 354408ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-596)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 374327ms/50s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-578)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 603849ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(395.0-668)] with expected peak @ (x:395.0, y:100)
[PokaPoka @ 623833ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(392.0-668)] with expected peak @ (x:392.0, y:100)
[PokaPoka @ 643774ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(389.0-666)] with expected peak @ (x:389.0, y:100)
[PokaPoka @ 663726ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(386.0-662)] with expected peak @ (x:386.0, y:100)
[PokaPoka @ 683668ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(383.0-656)] with expected peak @ (x:383.0, y:100)
[PokaPoka @ 703581ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(380.0-648)] with expected peak @ (x:380.0, y:100)
[PokaPoka @ 724547ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(377.0-638)] with expected peak @ (x:377.0, y:100)
[PokaPoka @ 745473ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-626)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 764421ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-612)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 784375ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-596)] with expected peak @ (x:368.0, y:100)
[PokaPoka @ 805311ms/51s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-578)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 462939ms/53s/49m/14h, 27d/6mo/2021y] --> Toggled developergui --> False
[PokaPoka @ 743333ms/56s/49m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 502475ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 522427ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-668)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 543404ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-666)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 562297ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-662)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 582268ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-656)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 610164ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-648)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 637099ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-638)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 657039ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-626)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 677021ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-612)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 698080ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-596)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 718875ms/57s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-578)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 139343ms/0s/50m/14h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 139343ms/0s/50m/14h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 139343ms/0s/50m/14h, 27d/6mo/2021y] --> Exported game log
